Data;Dia;Mês;Ano;Taxa de câmbio - R$ / US$ - comercial - compra - média;;;;;;;;;;;;;;;
26/08/2024;26;Ago;2024;R$ 5,4915;;;;;;;;;;;;;;;
23/08/2024;23;Ago;2024;R$ 5,5257;;;;;;;;;;;;;;;
22/08/2024;22;Ago;2024;R$ 5,5518;;;;;;;;;;;;;;;
21/08/2024;21;Ago;2024;R$ 5,4701;;;;;;;;;;;;;;;
20/08/2024;20;Ago;2024;R$ 5,4541;;;;;;;;;;;;;;;
19/08/2024;19;Ago;2024;R$ 5,4231;;;;;;;;;;;;;;;
16/08/2024;16;Ago;2024;R$ 5,4626;;;;;;;;;;;;;;;
15/08/2024;15;Ago;2024;R$ 5,4645;;;;;;;;;;;;;;;
14/08/2024;14;Ago;2024;R$ 5,4496;;;;;;;;;;;;;;;
13/08/2024;13;Ago;2024;R$ 5,4869;;;;;;;;;;;;;;;
12/08/2024;12;Ago;2024;R$ 5,4905;;;;;;;;;;;;;;;
09/08/2024;09;Ago;2024;R$ 5,5109;;;;;;;;;;;;;;;
08/08/2024;08;Ago;2024;R$ 5,6166;;;;;;;;;;;;;;;
07/08/2024;07;Ago;2024;R$ 5,6087;;;;;;;;;;;;;;;
06/08/2024;06;Ago;2024;R$ 5,6522;;;;;;;;;;;;;;;
05/08/2024;05;Ago;2024;R$ 5,7640;;;;;;;;;;;;;;;
02/08/2024;02;Ago;2024;R$ 5,7360;;;;;;;;;;;;;;;
01/08/2024;01;Ago;2024;R$ 5,6675;;;;;;;;;;;;;;;
31/07/2024;31;Jul;2024;R$ 5,6615;;;;;;;;;;;;;;;
30/07/2024;30;Jul;2024;R$ 5,6526;;;;;;;;;;;;;;;
29/07/2024;29;Jul;2024;R$ 5,6473;;;;;;;;;;;;;;;
26/07/2024;26;Jul;2024;R$ 5,6459;;;;;;;;;;;;;;;
25/07/2024;25;Jul;2024;R$ 5,6396;;;;;;;;;;;;;;;
24/07/2024;24;Jul;2024;R$ 5,6340;;;;;;;;;;;;;;;
23/07/2024;23;Jul;2024;R$ 5,5801;;;;;;;;;;;;;;;
22/07/2024;22;Jul;2024;R$ 5,5592;;;;;;;;;;;;;;;
19/07/2024;19;Jul;2024;R$ 5,5537;;;;;;;;;;;;;;;
18/07/2024;18;Jul;2024;R$ 5,5420;;;;;;;;;;;;;;;
17/07/2024;17;Jul;2024;R$ 5,4664;;;;;;;;;;;;;;;
16/07/2024;16;Jul;2024;R$ 5,4268;;;;;;;;;;;;;;;
15/07/2024;15;Jul;2024;R$ 5,4557;;;;;;;;;;;;;;;
12/07/2024;12;Jul;2024;R$ 5,4523;;;;;;;;;;;;;;;
11/07/2024;11;Jul;2024;R$ 5,4094;;;;;;;;;;;;;;;
10/07/2024;10;Jul;2024;R$ 5,3961;;;;;;;;;;;;;;;
09/07/2024;09;Jul;2024;R$ 5,4381;;;;;;;;;;;;;;;
08/07/2024;08;Jul;2024;R$ 5,4714;;;;;;;;;;;;;;;
05/07/2024;05;Jul;2024;R$ 5,4964;;;;;;;;;;;;;;;
04/07/2024;04;Jul;2024;R$ 5,4833;;;;;;;;;;;;;;;
03/07/2024;03;Jul;2024;R$ 5,5857;;;;;;;;;;;;;;;
02/07/2024;02;Jul;2024;R$ 5,6671;;;;;;;;;;;;;;;
01/07/2024;01;Jul;2024;R$ 5,5887;;;;;;;;;;;;;;;
28/06/2024;28;Jun;2024;R$ 5,5583;;;;;;;;;;;;;;;
27/06/2024;27;Jun;2024;R$ 5,5223;;;;;;;;;;;;;;;
26/06/2024;26;Jun;2024;R$ 5,5091;;;;;;;;;;;;;;;
25/06/2024;25;Jun;2024;R$ 5,4283;;;;;;;;;;;;;;;
24/06/2024;24;Jun;2024;R$ 5,3994;;;;;;;;;;;;;;;
21/06/2024;21;Jun;2024;R$ 5,4410;;;;;;;;;;;;;;;
20/06/2024;20;Jun;2024;R$ 5,4248;;;;;;;;;;;;;;;
19/06/2024;19;Jun;2024;R$ 5,4641;;;;;;;;;;;;;;;
18/06/2024;18;Jun;2024;R$ 5,4068;;;;;;;;;;;;;;;
17/06/2024;17;Jun;2024;R$ 5,4124;;;;;;;;;;;;;;;
14/06/2024;14;Jun;2024;R$ 5,3624;;;;;;;;;;;;;;;
13/06/2024;13;Jun;2024;R$ 5,3968;;;;;;;;;;;;;;;
12/06/2024;12;Jun;2024;R$ 5,3885;;;;;;;;;;;;;;;
11/06/2024;11;Jun;2024;R$ 5,3519;;;;;;;;;;;;;;;
10/06/2024;10;Jun;2024;R$ 5,3660;;;;;;;;;;;;;;;
07/06/2024;07;Jun;2024;R$ 5,2796;;;;;;;;;;;;;;;
06/06/2024;06;Jun;2024;R$ 5,2675;;;;;;;;;;;;;;;
05/06/2024;05;Jun;2024;R$ 5,2835;;;;;;;;;;;;;;;
04/06/2024;04;Jun;2024;R$ 5,2681;;;;;;;;;;;;;;;
03/06/2024;03;Jun;2024;R$ 5,2367;;;;;;;;;;;;;;;
31/05/2024;31;Mai;2024;R$ 5,2410;;;;;;;;;;;;;;;
29/05/2024;29;Mai;2024;R$ 5,1966;;;;;;;;;;;;;;;
28/05/2024;28;Mai;2024;R$ 5,1532;;;;;;;;;;;;;;;
27/05/2024;27;Mai;2024;R$ 5,1698;;;;;;;;;;;;;;;
24/05/2024;24;Mai;2024;R$ 5,1502;;;;;;;;;;;;;;;
23/05/2024;23;Mai;2024;R$ 5,1437;;;;;;;;;;;;;;;
22/05/2024;22;Mai;2024;R$ 5,1496;;;;;;;;;;;;;;;
21/05/2024;21;Mai;2024;R$ 5,1031;;;;;;;;;;;;;;;
20/05/2024;20;Mai;2024;R$ 5,1079;;;;;;;;;;;;;;;
17/05/2024;17;Mai;2024;R$ 5,1151;;;;;;;;;;;;;;;
16/05/2024;16;Mai;2024;R$ 5,1264;;;;;;;;;;;;;;;
15/05/2024;15;Mai;2024;R$ 5,1417;;;;;;;;;;;;;;;
14/05/2024;14;Mai;2024;R$ 5,1350;;;;;;;;;;;;;;;
13/05/2024;13;Mai;2024;R$ 5,1406;;;;;;;;;;;;;;;
10/05/2024;10;Mai;2024;R$ 5,1458;;;;;;;;;;;;;;;
09/05/2024;09;Mai;2024;R$ 5,1571;;;;;;;;;;;;;;;
08/05/2024;08;Mai;2024;R$ 5,0881;;;;;;;;;;;;;;;
07/05/2024;07;Mai;2024;R$ 5,0604;;;;;;;;;;;;;;;
06/05/2024;06;Mai;2024;R$ 5,0721;;;;;;;;;;;;;;;
03/05/2024;03;Mai;2024;R$ 5,0662;;;;;;;;;;;;;;;
02/05/2024;02;Mai;2024;R$ 5,1178;;;;;;;;;;;;;;;
30/04/2024;30;Abr;2024;R$ 5,1712;;;;;;;;;;;;;;;
29/04/2024;29;Abr;2024;R$ 5,1149;;;;;;;;;;;;;;;
26/04/2024;26;Abr;2024;R$ 5,1178;;;;;;;;;;;;;;;
25/04/2024;25;Abr;2024;R$ 5,1673;;;;;;;;;;;;;;;
24/04/2024;24;Abr;2024;R$ 5,1586;;;;;;;;;;;;;;;
23/04/2024;23;Abr;2024;R$ 5,1620;;;;;;;;;;;;;;;
22/04/2024;22;Abr;2024;R$ 5,2037;;;;;;;;;;;;;;;
19/04/2024;19;Abr;2024;R$ 5,2263;;;;;;;;;;;;;;;
18/04/2024;18;Abr;2024;R$ 5,2506;;;;;;;;;;;;;;;
17/04/2024;17;Abr;2024;R$ 5,2463;;;;;;;;;;;;;;;
16/04/2024;16;Abr;2024;R$ 5,2628;;;;;;;;;;;;;;;
15/04/2024;15;Abr;2024;R$ 5,1740;;;;;;;;;;;;;;;
12/04/2024;12;Abr;2024;R$ 5,1358;;;;;;;;;;;;;;;
11/04/2024;11;Abr;2024;R$ 5,0759;;;;;;;;;;;;;;;
10/04/2024;10;Abr;2024;R$ 5,0648;;;;;;;;;;;;;;;
09/04/2024;09;Abr;2024;R$ 5,0074;;;;;;;;;;;;;;;
08/04/2024;08;Abr;2024;R$ 5,0415;;;;;;;;;;;;;;;
05/04/2024;05;Abr;2024;R$ 5,0514;;;;;;;;;;;;;;;
04/04/2024;04;Abr;2024;R$ 5,0231;;;;;;;;;;;;;;;
03/04/2024;03;Abr;2024;R$ 5,0718;;;;;;;;;;;;;;;
02/04/2024;02;Abr;2024;R$ 5,0469;;;;;;;;;;;;;;;
01/04/2024;01;Abr;2024;R$ 5,0526;;;;;;;;;;;;;;;
28/03/2024;28;Mar;2024;R$ 4,9956;;;;;;;;;;;;;;;
27/03/2024;27;Mar;2024;R$ 4,9850;;;;;;;;;;;;;;;
26/03/2024;26;Mar;2024;R$ 4,9864;;;;;;;;;;;;;;;
25/03/2024;25;Mar;2024;R$ 4,9863;;;;;;;;;;;;;;;
22/03/2024;22;Mar;2024;R$ 4,9891;;;;;;;;;;;;;;;
21/03/2024;21;Mar;2024;R$ 4,9801;;;;;;;;;;;;;;;
20/03/2024;20;Mar;2024;R$ 5,0114;;;;;;;;;;;;;;;
19/03/2024;19;Mar;2024;R$ 5,0346;;;;;;;;;;;;;;;
18/03/2024;18;Mar;2024;R$ 5,0118;;;;;;;;;;;;;;;
15/03/2024;15;Mar;2024;R$ 4,9931;;;;;;;;;;;;;;;
14/03/2024;14;Mar;2024;R$ 4,9762;;;;;;;;;;;;;;;
13/03/2024;13;Mar;2024;R$ 4,9797;;;;;;;;;;;;;;;
12/03/2024;12;Mar;2024;R$ 4,9807;;;;;;;;;;;;;;;
11/03/2024;11;Mar;2024;R$ 4,9771;;;;;;;;;;;;;;;
08/03/2024;08;Mar;2024;R$ 4,9745;;;;;;;;;;;;;;;
07/03/2024;07;Mar;2024;R$ 4,9358;;;;;;;;;;;;;;;
06/03/2024;06;Mar;2024;R$ 4,9392;;;;;;;;;;;;;;;
05/03/2024;05;Mar;2024;R$ 4,9482;;;;;;;;;;;;;;;
04/03/2024;04;Mar;2024;R$ 4,9469;;;;;;;;;;;;;;;
01/03/2024;01;Mar;2024;R$ 4,9590;;;;;;;;;;;;;;;
29/02/2024;29;Fev;2024;R$ 4,9827;;;;;;;;;;;;;;;
28/02/2024;28;Fev;2024;R$ 4,9551;;;;;;;;;;;;;;;
27/02/2024;27;Fev;2024;R$ 4,9569;;;;;;;;;;;;;;;
26/02/2024;26;Fev;2024;R$ 4,9813;;;;;;;;;;;;;;;
23/02/2024;23;Fev;2024;R$ 4,9845;;;;;;;;;;;;;;;
22/02/2024;22;Fev;2024;R$ 4,9413;;;;;;;;;;;;;;;
21/02/2024;21;Fev;2024;R$ 4,9297;;;;;;;;;;;;;;;
20/02/2024;20;Fev;2024;R$ 4,9402;;;;;;;;;;;;;;;
19/02/2024;19;Fev;2024;R$ 4,9579;;;;;;;;;;;;;;;
16/02/2024;16;Fev;2024;R$ 4,9755;;;;;;;;;;;;;;;
15/02/2024;15;Fev;2024;R$ 4,9704;;;;;;;;;;;;;;;
14/02/2024;14;Fev;2024;R$ 4,9717;;;;;;;;;;;;;;;
09/02/2024;09;Fev;2024;R$ 4,9711;;;;;;;;;;;;;;;
08/02/2024;08;Fev;2024;R$ 4,9798;;;;;;;;;;;;;;;
07/02/2024;07;Fev;2024;R$ 4,9602;;;;;;;;;;;;;;;
06/02/2024;06;Fev;2024;R$ 4,9681;;;;;;;;;;;;;;;
05/02/2024;05;Fev;2024;R$ 5,0047;;;;;;;;;;;;;;;
02/02/2024;02;Fev;2024;R$ 4,9465;;;;;;;;;;;;;;;
01/02/2024;01;Fev;2024;R$ 4,9344;;;;;;;;;;;;;;;
31/01/2024;31;Jan;2024;R$ 4,9529;;;;;;;;;;;;;;;
30/01/2024;30;Jan;2024;R$ 4,9632;;;;;;;;;;;;;;;
29/01/2024;29;Jan;2024;R$ 4,9219;;;;;;;;;;;;;;;
26/01/2024;26;Jan;2024;R$ 4,9119;;;;;;;;;;;;;;;
25/01/2024;25;Jan;2024;R$ 4,9226;;;;;;;;;;;;;;;
24/01/2024;24;Jan;2024;R$ 4,9186;;;;;;;;;;;;;;;
23/01/2024;23;Jan;2024;R$ 4,9709;;;;;;;;;;;;;;;
22/01/2024;22;Jan;2024;R$ 4,9484;;;;;;;;;;;;;;;
19/01/2024;19;Jan;2024;R$ 4,9217;;;;;;;;;;;;;;;
18/01/2024;18;Jan;2024;R$ 4,9397;;;;;;;;;;;;;;;
17/01/2024;17;Jan;2024;R$ 4,9340;;;;;;;;;;;;;;;
16/01/2024;16;Jan;2024;R$ 4,9032;;;;;;;;;;;;;;;
15/01/2024;15;Jan;2024;R$ 4,8759;;;;;;;;;;;;;;;
12/01/2024;12;Jan;2024;R$ 4,8537;;;;;;;;;;;;;;;
11/01/2024;11;Jan;2024;R$ 4,8788;;;;;;;;;;;;;;;
10/01/2024;10;Jan;2024;R$ 4,8895;;;;;;;;;;;;;;;
09/01/2024;09;Jan;2024;R$ 4,8931;;;;;;;;;;;;;;;
08/01/2024;08;Jan;2024;R$ 4,8844;;;;;;;;;;;;;;;
05/01/2024;05;Jan;2024;R$ 4,8893;;;;;;;;;;;;;;;
04/01/2024;04;Jan;2024;R$ 4,9182;;;;;;;;;;;;;;;
03/01/2024;03;Jan;2024;R$ 4,9206;;;;;;;;;;;;;;;
02/01/2024;02;Jan;2024;R$ 4,8910;;;;;;;;;;;;;;;
29/12/2023;29;Dez;2023;R$ 4,8407;;;;;;;;;;;;;;;
28/12/2023;28;Dez;2023;R$ 4,8407;;;;;;;;;;;;;;;
27/12/2023;27;Dez;2023;R$ 4,8300;;;;;;;;;;;;;;;
26/12/2023;26;Dez;2023;R$ 4,8362;;;;;;;;;;;;;;;
22/12/2023;22;Dez;2023;R$ 4,8613;;;;;;;;;;;;;;;
21/12/2023;21;Dez;2023;R$ 4,8749;;;;;;;;;;;;;;;
20/12/2023;20;Dez;2023;R$ 4,8760;;;;;;;;;;;;;;;
19/12/2023;19;Dez;2023;R$ 4,8657;;;;;;;;;;;;;;;
18/12/2023;18;Dez;2023;R$ 4,9393;;;;;;;;;;;;;;;
15/12/2023;15;Dez;2023;R$ 4,9391;;;;;;;;;;;;;;;
14/12/2023;14;Dez;2023;R$ 4,8906;;;;;;;;;;;;;;;
13/12/2023;13;Dez;2023;R$ 4,9573;;;;;;;;;;;;;;;
12/12/2023;12;Dez;2023;R$ 4,9470;;;;;;;;;;;;;;;
11/12/2023;11;Dez;2023;R$ 4,9434;;;;;;;;;;;;;;;
08/12/2023;08;Dez;2023;R$ 4,9152;;;;;;;;;;;;;;;
07/12/2023;07;Dez;2023;R$ 4,8943;;;;;;;;;;;;;;;
06/12/2023;06;Dez;2023;R$ 4,9025;;;;;;;;;;;;;;;
05/12/2023;05;Dez;2023;R$ 4,9516;;;;;;;;;;;;;;;
04/12/2023;04;Dez;2023;R$ 4,9085;;;;;;;;;;;;;;;
01/12/2023;01;Dez;2023;R$ 4,9185;;;;;;;;;;;;;;;
30/11/2023;30;Nov;2023;R$ 4,9349;;;;;;;;;;;;;;;
29/11/2023;29;Nov;2023;R$ 4,8927;;;;;;;;;;;;;;;
28/11/2023;28;Nov;2023;R$ 4,8861;;;;;;;;;;;;;;;
27/11/2023;27;Nov;2023;R$ 4,8945;;;;;;;;;;;;;;;
24/11/2023;24;Nov;2023;R$ 4,8921;;;;;;;;;;;;;;;
23/11/2023;23;Nov;2023;R$ 4,8925;;;;;;;;;;;;;;;
22/11/2023;22;Nov;2023;R$ 4,8962;;;;;;;;;;;;;;;
21/11/2023;21;Nov;2023;R$ 4,8800;;;;;;;;;;;;;;;
20/11/2023;20;Nov;2023;R$ 4,8717;;;;;;;;;;;;;;;
17/11/2023;17;Nov;2023;R$ 4,8843;;;;;;;;;;;;;;;
16/11/2023;16;Nov;2023;R$ 4,8569;;;;;;;;;;;;;;;
14/11/2023;14;Nov;2023;R$ 4,8676;;;;;;;;;;;;;;;
13/11/2023;13;Nov;2023;R$ 4,9240;;;;;;;;;;;;;;;
10/11/2023;10;Nov;2023;R$ 4,9213;;;;;;;;;;;;;;;
09/11/2023;09;Nov;2023;R$ 4,9001;;;;;;;;;;;;;;;
08/11/2023;08;Nov;2023;R$ 4,8849;;;;;;;;;;;;;;;
07/11/2023;07;Nov;2023;R$ 4,8664;;;;;;;;;;;;;;;
06/11/2023;06;Nov;2023;R$ 4,8993;;;;;;;;;;;;;;;
03/11/2023;03;Nov;2023;R$ 4,8904;;;;;;;;;;;;;;;
01/11/2023;01;Nov;2023;R$ 5,0188;;;;;;;;;;;;;;;
31/10/2023;31;Out;2023;R$ 5,0569;;;;;;;;;;;;;;;
30/10/2023;30;Out;2023;R$ 5,0068;;;;;;;;;;;;;;;
27/10/2023;27;Out;2023;R$ 4,9474;;;;;;;;;;;;;;;
26/10/2023;26;Out;2023;R$ 5,0049;;;;;;;;;;;;;;;
25/10/2023;25;Out;2023;R$ 4,9975;;;;;;;;;;;;;;;
24/10/2023;24;Out;2023;R$ 5,0059;;;;;;;;;;;;;;;
23/10/2023;23;Out;2023;R$ 5,0158;;;;;;;;;;;;;;;
20/10/2023;20;Out;2023;R$ 5,0522;;;;;;;;;;;;;;;
19/10/2023;19;Out;2023;R$ 5,0534;;;;;;;;;;;;;;;
18/10/2023;18;Out;2023;R$ 5,0562;;;;;;;;;;;;;;;
17/10/2023;17;Out;2023;R$ 5,0378;;;;;;;;;;;;;;;
16/10/2023;16;Out;2023;R$ 5,0612;;;;;;;;;;;;;;;
13/10/2023;13;Out;2023;R$ 5,0619;;;;;;;;;;;;;;;
11/10/2023;11;Out;2023;R$ 5,0490;;;;;;;;;;;;;;;
10/10/2023;10;Out;2023;R$ 5,0856;;;;;;;;;;;;;;;
09/10/2023;09;Out;2023;R$ 5,1660;;;;;;;;;;;;;;;
06/10/2023;06;Out;2023;R$ 5,1912;;;;;;;;;;;;;;;
05/10/2023;05;Out;2023;R$ 5,1707;;;;;;;;;;;;;;;
04/10/2023;04;Out;2023;R$ 5,1520;;;;;;;;;;;;;;;
03/10/2023;03;Out;2023;R$ 5,1094;;;;;;;;;;;;;;;
02/10/2023;02;Out;2023;R$ 5,0673;;;;;;;;;;;;;;;
29/09/2023;29;Set;2023;R$ 5,0070;;;;;;;;;;;;;;;
28/09/2023;28;Set;2023;R$ 5,0469;;;;;;;;;;;;;;;
27/09/2023;27;Set;2023;R$ 5,0283;;;;;;;;;;;;;;;
26/09/2023;26;Set;2023;R$ 4,9711;;;;;;;;;;;;;;;
25/09/2023;25;Set;2023;R$ 4,9600;;;;;;;;;;;;;;;
22/09/2023;22;Set;2023;R$ 4,9125;;;;;;;;;;;;;;;
21/09/2023;21;Set;2023;R$ 4,9223;;;;;;;;;;;;;;;
20/09/2023;20;Set;2023;R$ 4,8481;;;;;;;;;;;;;;;
19/09/2023;19;Set;2023;R$ 4,8569;;;;;;;;;;;;;;;
18/09/2023;18;Set;2023;R$ 4,8529;;;;;;;;;;;;;;;
15/09/2023;15;Set;2023;R$ 4,8683;;;;;;;;;;;;;;;
14/09/2023;14;Set;2023;R$ 4,8745;;;;;;;;;;;;;;;
13/09/2023;13;Set;2023;R$ 4,9165;;;;;;;;;;;;;;;
12/09/2023;12;Set;2023;R$ 4,9499;;;;;;;;;;;;;;;
11/09/2023;11;Set;2023;R$ 4,9360;;;;;;;;;;;;;;;
08/09/2023;08;Set;2023;R$ 4,9829;;;;;;;;;;;;;;;
06/09/2023;06;Set;2023;R$ 4,9756;;;;;;;;;;;;;;;
05/09/2023;05;Set;2023;R$ 4,9699;;;;;;;;;;;;;;;
04/09/2023;04;Set;2023;R$ 4,9170;;;;;;;;;;;;;;;
01/09/2023;01;Set;2023;R$ 4,9312;;;;;;;;;;;;;;;
31/08/2023;31;Ago;2023;R$ 4,9213;;;;;;;;;;;;;;;
30/08/2023;30;Ago;2023;R$ 4,8647;;;;;;;;;;;;;;;
29/08/2023;29;Ago;2023;R$ 4,8700;;;;;;;;;;;;;;;
28/08/2023;28;Ago;2023;R$ 4,8933;;;;;;;;;;;;;;;
25/08/2023;25;Ago;2023;R$ 4,8766;;;;;;;;;;;;;;;
24/08/2023;24;Ago;2023;R$ 4,8742;;;;;;;;;;;;;;;
23/08/2023;23;Ago;2023;R$ 4,8971;;;;;;;;;;;;;;;
22/08/2023;22;Ago;2023;R$ 4,9425;;;;;;;;;;;;;;;
21/08/2023;21;Ago;2023;R$ 4,9841;;;;;;;;;;;;;;;
18/08/2023;18;Ago;2023;R$ 4,9718;;;;;;;;;;;;;;;
17/08/2023;17;Ago;2023;R$ 4,9810;;;;;;;;;;;;;;;
16/08/2023;16;Ago;2023;R$ 4,9765;;;;;;;;;;;;;;;
15/08/2023;15;Ago;2023;R$ 4,9806;;;;;;;;;;;;;;;
14/08/2023;14;Ago;2023;R$ 4,9475;;;;;;;;;;;;;;;
11/08/2023;11;Ago;2023;R$ 4,8912;;;;;;;;;;;;;;;
10/08/2023;10;Ago;2023;R$ 4,8512;;;;;;;;;;;;;;;
09/08/2023;09;Ago;2023;R$ 4,9009;;;;;;;;;;;;;;;
08/08/2023;08;Ago;2023;R$ 4,9211;;;;;;;;;;;;;;;
07/08/2023;07;Ago;2023;R$ 4,9004;;;;;;;;;;;;;;;
04/08/2023;04;Ago;2023;R$ 4,8603;;;;;;;;;;;;;;;
03/08/2023;03;Ago;2023;R$ 4,8791;;;;;;;;;;;;;;;
02/08/2023;02;Ago;2023;R$ 4,8077;;;;;;;;;;;;;;;
01/08/2023;01;Ago;2023;R$ 4,7746;;;;;;;;;;;;;;;
31/07/2023;31;Jul;2023;R$ 4,7409;;;;;;;;;;;;;;;
28/07/2023;28;Jul;2023;R$ 4,7247;;;;;;;;;;;;;;;
27/07/2023;27;Jul;2023;R$ 4,7196;;;;;;;;;;;;;;;
26/07/2023;26;Jul;2023;R$ 4,7362;;;;;;;;;;;;;;;
25/07/2023;25;Jul;2023;R$ 4,7490;;;;;;;;;;;;;;;
24/07/2023;24;Jul;2023;R$ 4,7451;;;;;;;;;;;;;;;
21/07/2023;21;Jul;2023;R$ 4,7726;;;;;;;;;;;;;;;
20/07/2023;20;Jul;2023;R$ 4,7882;;;;;;;;;;;;;;;
19/07/2023;19;Jul;2023;R$ 4,7994;;;;;;;;;;;;;;;
18/07/2023;18;Jul;2023;R$ 4,8034;;;;;;;;;;;;;;;
17/07/2023;17;Jul;2023;R$ 4,8296;;;;;;;;;;;;;;;
14/07/2023;14;Jul;2023;R$ 4,7951;;;;;;;;;;;;;;;
13/07/2023;13;Jul;2023;R$ 4,8032;;;;;;;;;;;;;;;
12/07/2023;12;Jul;2023;R$ 4,8052;;;;;;;;;;;;;;;
11/07/2023;11;Jul;2023;R$ 4,8943;;;;;;;;;;;;;;;
10/07/2023;10;Jul;2023;R$ 4,8729;;;;;;;;;;;;;;;
